timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
80844387,80844068,2490402,2490402,-4.6224115e-05,0.0006632735,8.448868e-05,-0.004840334,-0.0030647945,-0.044932753,4874,4874,0,0,1,1
81339407,81339068,2490402,2490402,-0.0002747727,-0.00041970552,4.120877e-05,-0.000121473655,0.005979471,-0.04573545,5000,5000,0,0,1,1
81844382,81844193,2490402,2490402,2.7152058e-05,8.602819e-05,-0.00016643405,0.019522475,-0.0013212299,-0.05492703,4999,4999,0,0,1,1
82339415,82339096,2490402,2490402,0.00019980388,0.00026915467,0.00035668892,0.023021163,-0.0032315867,-0.054471347,4882,4882,0,0,1,1
82844380,82844193,2490402,2490402,3.5268204e-05,-0.00029978482,1.1421877e-06,-0.026347151,-0.004276256,-0.04126506,4735,4735,0,0,1,1
83344408,83344068,2490402,2490402,0.00015606266,-0.00036761313,0.00012719737,0.002399611,0.001059299,-0.049389318,5000,5000,0,0,1,1
83844461,83844239,2490402,2490402,0.00022623548,2.5225749e-05,0.00018523254,0.018618807,-0.013175002,-0.052240077,4922,4922,0,0,1,1
84344382,84344068,2490402,2490402,0.0005279806,-0.0002567623,8.039244e-05,-0.0063902317,-0.012720739,-0.04656437,4998,4998,0,0,1,1
84839400,84839210,2490402,2490402,-1.4326532e-05,0.00023480058,-6.451005e-05,-0.010849836,-0.0027248226,-0.046128698,5141,5141,0,0,1,1
85344380,85344068,2490402,2490402,0.00071125384,-0.0028274294,-0.00016366215,-0.034785587,0.031219281,-0.029675372,4874,4874,0,0,1,1
85839404,85839068,2490402,2490402,-0.0061518094,-0.0012685744,0.0010494536,0.008980876,0.046646636,-0.108918816,5000,5000,0,0,1,1
86344410,86344193,2490402,2490402,0.0067176498,0.00017121674,0.00074154284,0.043017343,-0.039703045,-0.03383109,4739,4739,0,0,1,1
86844441,86844068,2490402,2490402,0.00087208574,-0.006326156,0.0015077523,0.008281842,-0.008455431,-0.1049288,5000,5000,0,0,1,1
87344434,87344196,2490402,2490402,-0.011795486,-0.0037215084,-0.0014514942,0.026823718,-0.03792594,-0.0259557,4891,4891,0,0,1,1
87844385,87844069,2490402,2490402,-0.008535966,9.7254284e-05,-0.0012951486,0.0033731274,-0.016143385,0.00096630346,4876,4876,0,0,1,1
88339416,88339102,2490402,2490402,-0.0027992532,-0.0051547377,-0.0012075457,-0.02064922,-0.028326912,-0.060433093,5033,5033,0,0,1,1
88844405,88844193,2490402,2490402,0.0010375743,0.0024238562,0.0003578787,0.0061727036,0.010090786,-0.11810741,5000,5000,0,0,1,1
89339382,89339068,2490402,2490402,0.006285681,0.0007436945,-0.00015414505,0.017285727,0.024380159,0.013430405,4875,4875,0,0,1,1
89844386,89844068,2490402,2490402,-0.012673144,0.00042220578,-0.00091267173,0.019578297,0.02137332,-0.038204048,4874,4874,0,0,1,1
90344466,90344264,2490402,2490402,0.015929122,9.790763e-05,7.910879e-05,-0.033792432,-0.025731487,-0.095525876,5194,5194,0,0,1,1
90844407,90844193,2490402,2490402,-0.015110468,-0.00031716173,-7.984446e-05,0.024988346,0.014848159,-0.0052941027,4689,4689,0,0,1,1
91344388,91344068,2490402,2490402,0.008085367,-7.5196265e-05,0.0022988121,0.03413061,0.0007290722,-0.019223893,5000,5000,0,0,1,1
91839534,91839215,2490402,2490402,0.0023540405,-0.010050154,-0.0008126138,0.015647283,-0.015891826,0.03259012,5147,5147,0,0,1,1
92344394,92344073,2490402,2490402,0.0005695488,-0.0004319318,0.0019252511,0.024054198,-0.007903104,-0.07233298,4880,4880,0,0,1,1
92839384,92839070,2490402,2490402,-0.009701394,-0.0002552588,-0.0010298738,0.01970719,0.007979016,-0.11165661,5001,5001,0,0,1,1
93344385,93344194,2490402,2490402,0.010461561,0.0008273636,0.0006579687,0.013711123,0.013972181,-0.06925965,5001,5001,0,0,1,1
93839380,93839068,2490402,2490402,0.008643553,-0.0021345087,-0.0010381762,0.0077345907,-0.038115736,-0.030043293,4874,4874,0,0,1,1
94344407,94344087,2490402,2490402,-0.0036924372,-0.001416236,0.00013148622,-0.0019095299,0.0021372342,-0.059303746,4893,4893,0,0,1,1
94844459,94844194,2490402,2490402,0.012588838,0.0012832874,0.00040084662,-0.01848606,-0.029109206,-0.049871746,5125,5125,0,0,1,1
95344376,95344193,2490402,2490402,0.01200047,0.0028188035,-0.0011843765,0.0037096343,-0.023110261,-0.052273504,4899,4899,0,0,1,1
95844508,95844069,2490402,2490402,-0.0062226146,0.000880468,-0.00134152,0.009493297,-0.06445023,-0.1078124,5001,5001,0,0,1,1
96339425,96339224,2490402,2490402,0.007008107,0.00268792,0.0003376051,-0.018636338,0.0500735,0.00058534596,5156,5156,0,0,1,1
96844382,96844069,2490402,2490402,-0.0038210046,-0.0065074684,-0.0010570573,0.023541862,-0.020804053,-0.019335356,4876,4876,0,0,1,1
97339431,97339068,2490402,2490402,0.0036816322,0.010770788,8.141422e-05,-0.020756966,0.008664207,-0.09630514,4999,4999,0,0,1,1
97844385,97844194,2490402,2490402,-0.010695227,-0.0035859728,-0.0001075886,-0.00875292,0.011549518,-0.04849871,5001,5001,0,0,1,1
98344410,98344082,2490402,2490402,0.01264287,0.005027655,0.0004834573,-0.01305682,0.0017984855,-0.05486958,5013,5013,0,0,1,1
98844411,98844194,2490402,2490402,-0.006376698,-0.008077802,0.0002839077,-0.036209047,-0.025963852,-0.09757987,4733,4733,0,0,1,1
99344382,99344069,2490402,2490402,-0.010605738,-0.0029771584,0.00067724485,-0.032458503,0.0024379496,-0.025895124,4876,4876,0,0,1,1
99844773,99844431,2490402,2490402,0.014147866,0.00695105,-0.0015781333,0.0050016628,-0.014984649,-0.01349261,5236,5236,0,0,1,1
100344393,100344068,2490402,2490402,0.0014089202,-0.0011979444,0.0020160591,-0.06567847,-0.025260106,-0.11436123,4974,4974,0,0,1,1
100839447,100839235,2490402,2490402,0.004349815,0.00013340628,0.0017579439,0.020154906,-0.015024956,-0.047241233,5164,5164,0,0,1,1
101344416,101344068,2490402,2490402,0.0024221223,-0.011117607,0.0006086174,-0.00820913,-0.0096303,-0.02892701,4874,4874,0,0,1,1
101844448,101844230,2490402,2490402,-0.010300028,-0.0013077182,-0.001335494,-0.005177493,-0.020257516,-0.08761637,5162,5162,0,0,1,1
102344411,102344194,2490402,2490402,0.014350277,-0.0002807358,0.00016161558,-0.007890413,-0.032426663,-0.0298334,4787,4787,0,0,1,1
102844383,102844069,2490402,2490402,-0.00035780418,0.009746399,-0.00030164915,0.020441357,-0.02379956,-0.023765543,5001,5001,0,0,1,1
103344402,103344219,2490402,2490402,-9.017071e-05,0.0091044335,0.0013750537,0.009483461,-0.0105668735,-0.032708228,4961,4961,0,0,1,1
103844440,103844098,2490402,2490402,0.008708732,-0.0011766677,-0.00014803647,-0.0111721475,-0.016361138,-0.13754949,4905,4905,0,0,1,1
104339380,104339068,2490402,2490402,-0.006998197,-0.00014029653,0.0010479111,-0.007882422,0.014589311,-0.039901923,4875,4875,0,0,1,1
104844403,104844193,2490402,2490402,0.007876661,0.004164294,0.0022560358,-0.017523149,0.008227897,-0.052072603,4999,4999,0,0,1,1
105339386,105339193,2490402,2490402,0.015077955,0.006200792,-0.00012700894,0.01736396,-0.023521207,-0.014537583,4999,4999,0,0,1,1
105844440,105844068,2490402,2490402,-0.0060831383,-0.009521807,-0.0029100957,-0.005454703,-0.045671154,-0.05806438,4874,4874,0,0,1,1
106344380,106344068,2490402,2490402,-0.015714616,0.0041854093,7.727768e-05,-0.011644297,0.033602893,0.013153847,5000,5000,0,0,1,1
106844424,106844216,2490402,2490402,-0.0071663028,0.004736795,-0.00086236506,-0.0051725036,-0.0055351085,0.015946513,4955,4955,0,0,1,1
107344422,107344070,2490402,2490402,-0.013350897,0.0055898,0.002150706,0.282477,0.26025385,0.06606729,5001,5001,0,0,1,1
