timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
81278454,2490402,2490402,0,0,0,0,0,0,0,0,799.9972,799.9972,8075.18,8075.18,5.1867633,0.13012268,3.834035e-08,0.1646966,-0.14510716,-9.481103,-0.004817877,-0.019244766,0.016666526,27.545584,9.109087,3.1163862,0.0063736555,0.020664454,0.009691404,30.742376,30.742376
82308165,2490402,2490402,0,0,0,0,0,0,0,0,797.94617,797.94617,8065.947,8065.947,5.2275443,0.13587914,2.1943782e-08,0.036519773,-0.20766306,-9.516265,0.0030534358,-0.013401583,0.009412703,20.856407,1.8813617,1.5195562,0.0017153298,0.014863663,0.005807929,30.732477,30.732477
83333133,2490402,2490402,0,0,0,0,0,0,0,0,799.7294,799.7294,8074.481,8074.481,6.3859215,0.13413656,2.2284143e-08,0.061546125,-0.2143947,-9.527044,0.0036543447,-0.012100953,-0.0033444585,25.21127,1.7715449,1.716826,0.0036507512,0.019361781,0.004843656,30.732494,30.732494
84259388,2490402,2490402,0,0,0,0,0,0,0,0,800.049,800.049,8074.753,8074.753,4.44773,0.11732655,2.3681645e-08,-0.14235474,-0.14954358,-9.425556,0.003585996,-0.01271744,-0.010365193,5.808884,11.134557,1.6988676,0.004882394,0.0046800906,0.014411458,30.762089,30.762089
85293153,2490402,2490402,0,0,0,0,0,0,0,0,799.92267,799.92267,8075.118,8075.118,5.44308,0.14905354,3.9232436e-08,0.10808974,-0.22709149,-9.5444145,-0.00031860953,-0.05209811,0.012506687,20.149855,9.850519,3.8034186,0.00582353,0.016759058,0.011461344,30.743046,30.743046
86319418,2490402,2490402,0,0,0,0,0,0,0,0,799.9998,799.9998,8074.906,8074.906,16.75509,0.5897927,6.22548e-06,-0.012934069,-0.9734231,-8.515406,0.70060843,-0.5508773,0.0021901026,92.5825,53.064533,318.8937,3.5732043,1.2769402,0.15276255,30.764124,30.764124
87254408,2490402,2490402,0,0,0,0,0,0,0,0,800.01984,800.01984,8074.92,8074.92,17.311394,0.86429846,4.9878577e-06,0.25004104,-1.0733162,-10.924505,-0.32596284,-0.34664226,-0.15866093,51.79459,113.01619,461.67392,2.8268127,1.4977487,0.1983059,30.773325,30.773325
88289385,2490402,2490402,0,0,0,0,0,0,0,0,800.0165,800.0165,8075.17,8075.17,18.819141,0.7065578,1.6886747e-06,-0.8359947,-0.46039838,-10.245585,0.19873951,0.20028548,0.10260933,76.40608,67.23212,124.13537,0.50432056,0.47918543,0.17846055,30.754093,30.754093
89314388,2490402,2490402,0,0,0,0,0,0,0,0,800.01404,800.01404,8075.3687,8075.3687,18.394009,1.1653693,5.8185387e-06,-0.055034082,-0.5943457,-10.063633,-0.43695855,-0.07815778,-0.11916727,65.51819,122.17575,430.17728,2.1057806,1.5925846,0.27715987,30.770662,30.770662
90239848,2490402,2490402,0,0,0,0,0,0,0,0,799.9558,799.9558,8075.1704,8075.1704,18.513819,1.0118479,4.2201873e-06,-0.39767835,0.3177019,-6.5624404,-0.38105738,-0.78432524,0.088852875,59.818398,88.910904,209.47694,4.424027,0.4751624,0.1894159,30.776693,30.776693
91274391,2490402,2490402,0,0,0,0,0,0,0,0,799.99963,799.99963,8075.0073,8075.0073,17.647503,0.95332956,2.7979318e-06,-0.28216434,-0.17282183,-10.016104,-0.47426692,-0.12885572,-0.11797105,95.4567,56.42442,272.9106,1.7808521,0.68437773,0.18694264,30.783165,30.783165
92304419,2490402,2490402,0,0,0,0,0,0,0,0,800.0098,800.0098,8075.1455,8075.1455,17.369595,0.93367165,6.8243185e-06,-0.20866324,-0.85062575,-9.001081,-0.16174278,-0.48989978,0.0043265955,59.549587,159.79227,535.8064,5.536402,2.078399,0.11077242,30.77562,30.77562
93338130,2490402,2490402,0,0,0,0,0,0,0,0,799.98083,799.98083,8075.2383,8075.2383,16.843058,0.9358896,6.886532e-06,-0.049480747,-1.3323487,-8.253469,0.99988574,-0.60457325,-0.0010544182,79.95888,140.0753,440.8955,3.5791137,1.7627691,0.16400278,30.798325,30.798325
94259386,2490402,2490402,0,0,0,0,0,0,0,0,800.0083,800.0083,8075.3667,8075.3667,18.064375,1.0065783,5.5349215e-06,0.08595302,-0.09785829,-7.907039,1.4704707,-0.32417655,-0.06805667,98.128456,79.91497,331.96393,1.2783223,1.3891288,0.13397466,30.791403,30.791403
95289384,2490402,2490402,0,0,0,0,0,0,0,0,800.0076,800.0076,8075.279,8075.279,19.06443,1.1741669,1.216177e-05,0.34953544,-0.051198497,-13.448607,-0.42226362,-0.51010215,-0.1570936,173.96912,106.66134,1301.1486,2.3635552,8.083142,0.13635714,30.792149,30.792149
96323470,2490402,2490402,0,0,0,0,0,0,0,0,799.99945,799.99945,8075.2563,8075.2563,16.743412,0.96121174,6.809077e-06,-0.55380815,-1.1454142,-9.395211,0.10994932,0.047032718,-0.06671718,98.76177,75.914024,365.28616,5.1573696,1.5518961,0.14887315,30.78008,30.78008
97249386,2490402,2490402,0,0,0,0,0,0,0,0,800.00665,800.00665,8075.2817,8075.2817,16.8698,0.9312727,7.416932e-06,-0.72333914,-0.8902647,-14.9294,0.12791435,-0.964164,-0.33507437,52.110218,125.883575,384.75998,1.7025073,2.5243063,0.22381383,30.790049,30.790049
98283469,2490402,2490402,0,0,0,0,0,0,0,0,799.9955,799.9955,8075.231,8075.231,18.595217,0.9734202,5.5922487e-06,0.18372902,-0.6763813,-8.718261,-1.6422426,0.6147473,-0.21040903,55.370148,110.102234,337.0864,1.5827748,1.3830132,0.20980322,30.8044,30.8044
99309777,2490402,2490402,0,0,0,0,0,0,0,0,799.98755,799.98755,8075.3584,8075.3584,16.897411,0.9214948,8.349112e-06,-0.28550607,-0.32484236,-9.120305,1.4823323,-1.1427393,-0.16860858,61.29419,93.54385,305.93063,1.602409,1.2926971,0.22879648,30.815903,30.815903
100239424,2490402,2490402,0,0,0,0,0,0,0,0,800.0031,800.0031,8075.301,8075.301,17.317785,0.96496004,3.9062247e-06,-0.042865414,-0.5203226,-8.858775,0.670207,0.6511354,0.1318052,82.542305,70.40824,268.58258,1.3887436,1.4918334,0.15320009,30.80968,30.80968
101273128,2490402,2490402,0,0,0,0,0,0,0,0,799.9878,799.9878,8075.277,8075.277,17.924398,0.88406795,3.8202566e-06,-0.51558495,0.055508308,-9.1572,1.0991085,0.56879514,0.21254385,83.960686,87.46405,262.8866,3.8668098,0.286058,0.11360932,30.811245,30.811245
102309385,2490402,2490402,0,0,0,0,0,0,0,0,800.005,800.005,8075.1978,8075.1978,16.290707,0.86405534,6.438833e-06,-0.08645505,-1.1968205,-9.113056,-0.9579606,-0.7224798,-0.15280351,66.6742,103.16472,274.64948,5.6239734,1.4280752,0.1226017,30.814674,30.814674
103234433,2490402,2490402,0,0,0,0,0,0,0,0,799.99915,799.99915,8075.2295,8075.2295,16.969099,0.9342198,3.84761e-06,0.022196613,-0.12673044,-8.739891,-1.8127259,-0.4865784,0.01773196,49.741127,91.460526,161.7197,1.284612,0.41010314,0.17892642,30.80897,30.80897
104269413,2490402,2490402,0,0,0,0,0,0,0,0,800.0045,800.0045,8075.1196,8075.1196,15.873454,0.8707154,6.67158e-06,-0.7446915,-0.7056356,-9.667033,-0.78111786,-0.3259152,0.03387839,78.13438,104.62437,303.94937,5.5963106,0.993151,0.17618008,30.82483,30.82483
105299446,2490402,2490402,0,0,0,0,0,0,0,0,799.99835,799.99835,8075.213,8075.213,17.283344,0.93843836,5.775029e-06,-0.08069699,-0.5104528,-9.346478,-1.7304447,1.2465262,-0.21530417,50.17065,101.61773,256.43594,1.6709927,1.119027,0.14557467,30.830479,30.830479
106333108,2490402,2490402,0,0,0,0,0,0,0,0,799.99097,799.99097,8075.2056,8075.2056,17.832684,0.9230504,4.9884497e-06,-0.40649536,0.51727337,-8.983194,0.14926828,0.33218217,-0.09646035,67.62413,87.004776,259.15433,4.5164566,0.54050595,0.21400863,30.816473,30.816473
107254513,2490402,2490402,0,0,0,0,0,0,0,0,800.0027,800.0027,8075.201,8075.201,10.354541,0.49375838,1.0688847e-07,-0.014290533,0.11394589,0.1075242,-2.989734,1.1301494,0.3847235,0.16369541,0.2101213,0.08665268,0.0002571319,0.0009460285,0.00085926644,30.830206,30.830206
